Artistname,FamousLevel,genre,Link
sxxnt.,53,gospel r&b,https://open.spotify.com/artist/4T0c560DVGr1cAtE3reOP1
Cade Kellam,36,gospel r&b,https://open.spotify.com/artist/1GWnsRvGpSmKxHOjMQah4k
Cade Kellam,36,christian alternative rock,https://open.spotify.com/artist/1GWnsRvGpSmKxHOjMQah4k
Claire Leslie,42,pop worship,https://open.spotify.com/artist/5GkuwRdmvp8r48JCPwqM7E
Claire Leslie,42,christian pop,https://open.spotify.com/artist/5GkuwRdmvp8r48JCPwqM7E
Claire Leslie,42,christian,https://open.spotify.com/artist/5GkuwRdmvp8r48JCPwqM7E
Gabriel Eziashi,43,african gospel,https://open.spotify.com/artist/6sx0dcFppnpZl1HSX6cCqx
Gabriel Eziashi,43,gospel,https://open.spotify.com/artist/6sx0dcFppnpZl1HSX6cCqx
Gabriel Eziashi,43,worship,https://open.spotify.com/artist/6sx0dcFppnpZl1HSX6cCqx
Bidemi Olaoba,47,african gospel,https://open.spotify.com/artist/6zgGhksQtJmJzAOalAeUSV
Bidemi Olaoba,47,gospel,https://open.spotify.com/artist/6zgGhksQtJmJzAOalAeUSV
Bidemi Olaoba,47,worship,https://open.spotify.com/artist/6zgGhksQtJmJzAOalAeUSV
Kenneth Kelly,27,gospel r&b,https://open.spotify.com/artist/0S90F2l4d1G4ZeqVvDLy3q
Kenneth Kelly,27,pop worship,https://open.spotify.com/artist/0S90F2l4d1G4ZeqVvDLy3q
Sinmidele,48,gospel r&b,https://open.spotify.com/artist/0xmUZqkqmJfezc0fzyfboj
Sinmidele,48,african gospel,https://open.spotify.com/artist/0xmUZqkqmJfezc0fzyfboj
Sinmidele,48,gospel,https://open.spotify.com/artist/0xmUZqkqmJfezc0fzyfboj
Strings And Heart,59,christian folk,https://open.spotify.com/artist/5lHDypXbNmHTDoFWpSTqXd
Strings And Heart,59,christian alternative rock,https://open.spotify.com/artist/5lHDypXbNmHTDoFWpSTqXd
Strings And Heart,59,christian pop,https://open.spotify.com/artist/5lHDypXbNmHTDoFWpSTqXd
Strings And Heart,59,pop worship,https://open.spotify.com/artist/5lHDypXbNmHTDoFWpSTqXd
Strings And Heart,59,christian,https://open.spotify.com/artist/5lHDypXbNmHTDoFWpSTqXd
Strings And Heart,59,worship,https://open.spotify.com/artist/5lHDypXbNmHTDoFWpSTqXd
Sarah Nathalié,42,gospel r&b,https://open.spotify.com/artist/1O8Ex2yuddkMknV0uM2oni
Sarah Nathalié,42,christian pop,https://open.spotify.com/artist/1O8Ex2yuddkMknV0uM2oni
Sarah Nathalié,42,pop worship,https://open.spotify.com/artist/1O8Ex2yuddkMknV0uM2oni
Sarah Nathalié,42,christian,https://open.spotify.com/artist/1O8Ex2yuddkMknV0uM2oni
Isaac Wheadon,34,gospel r&b,https://open.spotify.com/artist/3JdtFl0iWwZTNO5ul5nP5e
Isaac Wheadon,34,cedm,https://open.spotify.com/artist/3JdtFl0iWwZTNO5ul5nP5e
Sarah Juers,44,gospel r&b,https://open.spotify.com/artist/39mgk0y3gWDfKqHTAcc2LG
Sarah Juers,44,christian alternative rock,https://open.spotify.com/artist/39mgk0y3gWDfKqHTAcc2LG
Sarah Juers,44,christian folk,https://open.spotify.com/artist/39mgk0y3gWDfKqHTAcc2LG
Leslie Perez,39,gospel r&b,https://open.spotify.com/artist/2NUERBKvU6ghDuqmLReybs
Leslie Perez,39,christian alternative rock,https://open.spotify.com/artist/2NUERBKvU6ghDuqmLReybs
Jesus Image,51,worship,https://open.spotify.com/artist/47UT3dPXB5ttLBnyM76GQc
Jesus Image,51,gospel,https://open.spotify.com/artist/47UT3dPXB5ttLBnyM76GQc
ONE HOUSE,50,worship,https://open.spotify.com/artist/6RC9lZOZqIxeg4g38SXNLn
ONE HOUSE,50,gospel r&b,https://open.spotify.com/artist/6RC9lZOZqIxeg4g38SXNLn
ONE HOUSE,50,gospel,https://open.spotify.com/artist/6RC9lZOZqIxeg4g38SXNLn
Elle Limebear,50,christian pop,https://open.spotify.com/artist/7MCV4p3QmcYDMTfiE0ZWMD
Elle Limebear,50,worship,https://open.spotify.com/artist/7MCV4p3QmcYDMTfiE0ZWMD
Elle Limebear,50,pop worship,https://open.spotify.com/artist/7MCV4p3QmcYDMTfiE0ZWMD
Elle Limebear,50,christian,https://open.spotify.com/artist/7MCV4p3QmcYDMTfiE0ZWMD
